13	8	7
8	7	0
7	0	35
0	35	27
35	27	21
27	21	17
21	17	38
17	38	55
38	55	82
55	82	60
82	60	81
60	81	64
81	64	65
64	65	106
65	106	105
106	105	103
105	103	153
103	153	109
153	109	130
109	130	129
130	129	114
129	114	149
114	149	113
149	113	196
113	196	106
196	106	181
106	181	218
181	218	247
218	247	218
247	218	337
218	337	219
337	219	330
219	330	399
330	399	316
399	316	282
316	282	297
282	297	380
297	380	407
380	407	325
407	325	327
325	327	185
327	185	375
185	375	283
375	283	357
283	357	436
357	436	396
436	396	275
396	275	214
275	214	415
214	415	260
415	260	347
260	347	433
347	433	292
433	292	349
292	349	395
349	395	484
395	484	367
484	367	338
367	338	336
338	336	533
336	533	387
533	387	233
387	233	484
233	484	689
484	689	568
689	568	490
568	490	529
490	529	489
529	489	496
489	496	486
496	486	693
486	693	973
693	973	634
973	634	949
634	949	526
949	526	479
526	479	415
479	415	686
415	686	687
686	687	678
687	678	557
678	557	700
557	700	467
700	467	609
467	609	684
609	684	585
684	585	703
585	703	993
703	993	672
993	672	847
672	847	1043
847	1043	1240
1043	1240	979
1240	979	1111
979	1111	1014
1111	1014	857
1014	857	1017
857	1017	1106
1017	1106	1031
1106	1031	1331
1031	1331	1041
1331	1041	1226
1041	1226	862
1226	862	954
862	954	1051
954	1051	1113
1051	1113	1178
1113	1178	1240
1178	1240	1385
1240	1385	1198
1385	1198	1082
1198	1082	1293
1082	1293	1385
1293	1385	1624
1385	1624	1301
1624	1301	1447
1301	1447	1607
1447	1607	1209
1607	1209	1268
1209	1268	1853
1268	1853	2657
1853	2657	1611
2657	1611	1671
1611	1671	1681
1671	1681	1282
1681	1282	1591
1282	1591	1522
1591	1522	1574
1522	1574	1462
1574	1462	1752
1462	1752	1639
1752	1639	1693
1639	1693	1655
1693	1655	1882
1655	1882	1906
1882	1906	1761
1906	1761	1868
1761	1868	1492
1868	1492	1525
1492	1525	1748
1525	1748	2381
1748	2381	1904
2381	1904	2040
1904	2040	1560
2040	1560	1519
1560	1519	1679
1519	1679	1922
1679	1922	1815
1922	1815	1882
1815	1882	2473
1882	2473	2277
2473	2277	1893
2277	1893	1687
1893	1687	1693
1687	1693	1942
1693	1942	2098
1942	2098	2307
2098	2307	2345
2307	2345	2081
2345	2081	1821
2081	1821	1673
1821	1673	1902
1673	1902	2266
1902	2266	2197
2266	2197	2090
2197	2090	2037
2090	2037	1877
2037	1877	2447
1877	2447	2306
2447	2306	2719
2306	2719	3003
2719	3003	3308
3003	3308	2858
3308	2858	2743
2858	2743	2775
2743	2775	3075
2775	3075	3622
3075	3622	3269
3622	3269	3128
3269	3128	3444
3128	3444	2880
3444	2880	3046
2880	3046	3307
3046	3307	3861
3307	3861	3737
3861	3737	3806
3737	3806	3636
